course_name,category,level,description,curriculum,intakes,duration,career_prospect,estimated_course_fees,entry_requirements
Master of Science in Aerospace Engineering,"Engineering, Aerospace Engineering",Postgraduate (Master's),"This program provides advanced knowledge in aerospace engineering, focusing on research and development in areas such as aerodynamics, aircraft design, and spacecraft design. Students will complete a research thesis.","The curriculum includes Advanced Aerodynamics, Aircraft Design, Spacecraft Design, and Research Methods. Students will complete a research thesis.","February, July",1 year,"Aerospace Engineer, Aircraft Designer, Spacecraft Engineer, Academic Researcher","RM55,000 for Malaysian students and USD13,000 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Diploma in Aerospace Engineering,"Engineering, Aerospace Engineering",Diploma,"This diploma provides foundational knowledge in aerospace engineering, focusing on aircraft and spacecraft design. Students will gain practical experience through lab work.","The program includes Aerodynamics, Aircraft Design, Spacecraft Design, and Aerospace Systems. Students will complete a lab project in their final year.","January, April",2 years,"Aerospace Technician, Research Assistant, Aircraft Technician, Spacecraft Technician","RM30,000 for Malaysian students and USD7,000 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits including Mathematics and Physics; UEC: Pass with minimum 3 Grade Cs."
Bachelor of Science (Hons) in Civil Engineering,"Engineering, Civil Engineering",Undergraduate (Degree),"This program focuses on the study of civil engineering, including structural design, construction, and infrastructure development. Students will gain practical experience through lab work and research projects.","The curriculum includes Structural Design, Construction Management, Infrastructure Development, and Civil Engineering Applications. Students will complete a research project in their final year.","January, September",3 years,"Civil Engineer, Structural Engineer, Construction Manager, Academic Researcher","RM42,000 for Malaysian students and USD10,000 for international students.","STPM: Average C+ or GP 2.50 (minimum 2 Principals); A-Level: Minimum 12 points (Minimum Grade C in at least 2 subjects); Australian Matriculation: ATAR 65; Canadian Matriculation: 65%; Monash University Foundation Year: 65%; Sunway Foundation in Arts: CGPA 2.5; Sunway Foundation in Science Technology: CGPA 2.5; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits including Mathematics and Physics."
Master of Science in Civil Engineering,"Engineering, Civil Engineering",Postgraduate (Master's),"This program provides advanced knowledge in civil engineering, focusing on research and development in areas such as structural design, construction, and infrastructure development. Students will complete a research thesis.","The curriculum includes Advanced Structural Design, Construction Management, Infrastructure Development, and Research Methods. Students will complete a research thesis.","February, July",1 year,"Civil Engineer, Structural Engineer, Construction Manager, Academic Researcher","RM55,000 for Malaysian students and USD13,000 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Diploma in Civil Engineering,"Engineering, Civil Engineering",Diploma,"This diploma provides foundational knowledge in civil engineering, focusing on structural design and construction. Students will gain practical experience through lab work.","The program includes Structural Design, Construction Management, Infrastructure Development, and Civil Engineering Applications. Students will complete a lab project in their final year.","January, April",2 years,"Civil Engineering Technician, Research Assistant, Construction Technician, Infrastructure Technician","RM30,000 for Malaysian students and USD7,000 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits including Mathematics and Physics; UEC: Pass with minimum 3 Grade Cs."
Bachelor of Science (Hons) in Electrical and Electronics Engineering,"Engineering, Electrical and Electronics Engineering",Undergraduate (Degree),"This program focuses on the study of electrical and electronics systems, including circuit design, power systems, and telecommunications. Students will gain practical experience through lab work and research projects.","The curriculum includes Circuit Design, Power Systems, Telecommunications, and Electrical Engineering Applications. Students will complete a research project in their final year.","January, September",3 years,"Electrical Engineer, Electronics Engineer, Telecommunications Engineer, Academic Researcher","RM42,000 for Malaysian students and USD10,000 for international students.","STPM: Average C+ or GP 2.50 (minimum 2 Principals); A-Level: Minimum 12 points (Minimum Grade C in at least 2 subjects); Australian Matriculation: ATAR 65; Canadian Matriculation: 65%; Monash University Foundation Year: 65%; Sunway Foundation in Arts: CGPA 2.5; Sunway Foundation in Science Technology: CGPA 2.5; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits including Mathematics and Physics."
Master of Science in Electrical and Electronics Engineering,"Engineering, Electrical and Electronics Engineering",Postgraduate (Master's),"This program provides advanced knowledge in electrical and electronics engineering, focusing on research and development in areas such as circuit design, power systems, and telecommunications. Students will complete a research thesis.","The curriculum includes Advanced Circuit Design, Power Systems, Telecommunications, and Research Methods. Students will complete a research thesis.","February, July",1 year,"Electrical Engineer, Electronics Engineer, Telecommunications Engineer, Academic Researcher","RM55,000 for Malaysian students and USD13,000 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Diploma in Electrical and Electronics Engineering,"Engineering, Electrical and Electronics Engineering",Diploma,"This diploma provides foundational knowledge in electrical and electronics engineering, focusing on circuit design and power systems. Students will gain practical experience through lab work.","The program includes Circuit Design, Power Systems, Telecommunications, and Electrical Engineering Applications. Students will complete a lab project in their final year.","January, April",2 years,"Electrical Engineering Technician, Research Assistant, Electronics Technician, Telecommunications Technician","RM30,000 for Malaysian students and USD7,000 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits including Mathematics and Physics; UEC: Pass with minimum 3 Grade Cs."
Bachelor of Science (Hons) in Chemical Engineering,"Engineering, Chemical Engineering",Undergraduate (Degree),"This program focuses on the study of chemical processes, including chemical reactions, process design, and industrial applications. Students will gain practical experience through lab work and research projects.","The curriculum includes Chemical Reactions, Process Design, Industrial Applications, and Chemical Engineering Applications. Students will complete a research project in their final year.","January, September",3 years,"Chemical Engineer, Process Engineer, Industrial Engineer, Academic Researcher","RM42,000 for Malaysian students and USD10,000 for international students.","STPM: Average C+ or GP 2.50 (minimum 2 Principals); A-Level: Minimum 12 points (Minimum Grade C in at least 2 subjects); Australian Matriculation: ATAR 65; Canadian Matriculation: 65%; Monash University Foundation Year: 65%; Sunway Foundation in Arts: CGPA 2.5; Sunway Foundation in Science Technology: CGPA 2.5; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits including Chemistry and Physics."
Master of Science in Chemical Engineering,"Engineering, Chemical Engineering",Postgraduate (Master's),"This program provides advanced knowledge in chemical engineering, focusing on research and development in areas such as chemical reactions, process design, and industrial applications. Students will complete a research thesis.","The curriculum includes Advanced Chemical Reactions, Process Design, Industrial Applications, and Research Methods. Students will complete a research thesis.","February, July",1 year,"Chemical Engineer, Process Engineer, Industrial Engineer, Academic Researcher","RM55,000 for Malaysian students and USD13,000 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Diploma in Chemical Engineering,"Engineering, Chemical Engineering",Diploma,"This diploma provides foundational knowledge in chemical engineering, focusing on chemical processes and industrial applications. Students will gain practical experience through lab work.","The program includes Chemical Reactions, Process Design, Industrial Applications, and Chemical Engineering Applications. Students will complete a lab project in their final year.","January, April",2 years,"Chemical Engineering Technician, Research Assistant, Process Technician, Industrial Technician","RM30,000 for Malaysian students and USD7,000 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits including Chemistry and Physics; UEC: Pass with minimum 3 Grade Cs."
Bachelor of Science (Hons) in Petroleum Engineering,"Engineering, Petroleum Engineering",Undergraduate (Degree),"This program focuses on the study of petroleum exploration, production, and refining. Students will gain practical experience through lab work and research projects.","The curriculum includes Petroleum Exploration, Production, Refining, and Petroleum Engineering Applications. Students will complete a research project in their final year.","January, September",3 years,"Petroleum Engineer, Reservoir Engineer, Drilling Engineer, Academic Researcher","RM42,000 for Malaysian students and USD10,000 for international students.","STPM: Average C+ or GP 2.50 (minimum 2 Principals); A-Level: Minimum 12 points (Minimum Grade C in at least 2 subjects); Australian Matriculation: ATAR 65; Canadian Matriculation: 65%; Monash University Foundation Year: 65%; Sunway Foundation in Arts: CGPA 2.5; Sunway Foundation in Science Technology: CGPA 2.5; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits including Chemistry and Physics."
Master of Science in Petroleum Engineering,"Engineering, Petroleum Engineering",Postgraduate (Master's),"This program provides advanced knowledge in petroleum engineering, focusing on research and development in areas such as petroleum exploration, production, and refining. Students will complete a research thesis.","The curriculum includes Advanced Petroleum Exploration, Production, Refining, and Research Methods. Students will complete a research thesis.","February, July",1 year,"Petroleum Engineer, Reservoir Engineer, Drilling Engineer, Academic Researcher","RM55,000 for Malaysian students and USD13,000 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Diploma in Petroleum Engineering,"Engineering, Petroleum Engineering",Diploma,"This diploma provides foundational knowledge in petroleum engineering, focusing on petroleum exploration and production. Students will gain practical experience through lab work.","The program includes Petroleum Exploration, Production, Refining, and Petroleum Engineering Applications. Students will complete a lab project in their final year.","January, April",2 years,"Petroleum Engineering Technician, Research Assistant, Drilling Technician, Reservoir Technician","RM30,000 for Malaysian students and USD7,000 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits including Chemistry and Physics; UEC: Pass with minimum 3 Grade Cs."
Bachelor of Science (Hons) in Marine Engineering,"Engineering, Marine Engineering",Undergraduate (Degree),"This program focuses on the study of marine systems, including ship design, marine propulsion, and offshore engineering. Students will gain practical experience through lab work and research projects.","The curriculum includes Ship Design, Marine Propulsion, Offshore Engineering, and Marine Engineering Applications. Students will complete a research project in their final year.","January, September",3 years,"Marine Engineer, Ship Designer, Offshore Engineer, Academic Researcher","RM42,000 for Malaysian students and USD10,000 for international students.","STPM: Average C+ or GP 2.50 (minimum 2 Principals); A-Level: Minimum 12 points (Minimum Grade C in at least 2 subjects); Australian Matriculation: ATAR 65; Canadian Matriculation: 65%; Monash University Foundation Year: 65%; Sunway Foundation in Arts: CGPA 2.5; Sunway Foundation in Science Technology: CGPA 2.5; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits including Mathematics and Physics."
Master of Science in Marine Engineering,"Engineering, Marine Engineering",Postgraduate (Master's),"This program provides advanced knowledge in marine engineering, focusing on research and development in areas such as ship design, marine propulsion, and offshore engineering. Students will complete a research thesis.","The curriculum includes Advanced Ship Design, Marine Propulsion, Offshore Engineering, and Research Methods. Students will complete a research thesis.","February, July",1 year,"Marine Engineer, Ship Designer, Offshore Engineer, Academic Researcher","RM55,000 for Malaysian students and USD13,000 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Diploma in Marine Engineering,"Engineering, Marine Engineering",Diploma,"This diploma provides foundational knowledge in marine engineering, focusing on ship design and marine propulsion. Students will gain practical experience through lab work.","The program includes Ship Design, Marine Propulsion, Offshore Engineering, and Marine Engineering Applications. Students will complete a lab project in their final year.","January, April",2 years,"Marine Engineering Technician, Research Assistant, Ship Technician, Offshore Technician","RM30,000 for Malaysian students and USD7,000 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits including Mathematics and Physics; UEC: Pass with minimum 3 Grade Cs."
Bachelor of Science (Hons) in Mechatronics Engineering,"Engineering, Mechatronics Engineering",Undergraduate (Degree),"This program focuses on the study of mechatronics, including robotics, automation, and control systems. Students will gain practical experience through lab work and research projects.","The curriculum includes Robotics, Automation, Control Systems, and Mechatronics Applications. Students will complete a research project in their final year.","January, September",3 years,"Mechatronics Engineer, Robotics Engineer, Automation Engineer, Academic Researcher","RM42,000 for Malaysian students and USD10,000 for international students.","STPM: Average C+ or GP 2.50 (minimum 2 Principals); A-Level: Minimum 12 points (Minimum Grade C in at least 2 subjects); Australian Matriculation: ATAR 65; Canadian Matriculation: 65%; Monash University Foundation Year: 65%; Sunway Foundation in Arts: CGPA 2.5; Sunway Foundation in Science Technology: CGPA 2.5; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits including Mathematics and Physics."
Master of Science in Mechatronics Engineering,"Engineering, Mechatronics Engineering",Postgraduate (Master's),"This program provides advanced knowledge in mechatronics engineering, focusing on research and development in areas such as robotics, automation, and control systems. Students will complete a research thesis.","The curriculum includes Advanced Robotics, Automation, Control Systems, and Research Methods. Students will complete a research thesis.","February, July",1 year,"Mechatronics Engineer, Robotics Engineer, Automation Engineer, Academic Researcher","RM55,000 for Malaysian students and USD13,000 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Diploma in Mechatronics Engineering,"Engineering, Mechatronics Engineering",Diploma,"This diploma provides foundational knowledge in mechatronics engineering, focusing on robotics and automation. Students will gain practical experience through lab work.","The program includes Robotics, Automation, Control Systems, and Mechatronics Applications. Students will complete a lab project in their final year.","January, April",2 years,"Mechatronics Engineering Technician, Research Assistant, Robotics Technician, Automation Technician","RM30,000 for Malaysian students and USD7,000 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits including Mathematics and Physics; UEC: Pass with minimum 3 Grade Cs."
Bachelor of Science (Hons) in Telecommunications Engineering,"Engineering, Telecommunications Engineering",Undergraduate (Degree),"This program focuses on the study of telecommunications systems, including network design, wireless communication, and signal processing. Students will gain practical experience through lab work and research projects.","The curriculum includes Network Design, Wireless Communication, Signal Processing, and Telecommunications Applications. Students will complete a research project in their final year.","January, September",3 years,"Telecommunications Engineer, Network Engineer, Wireless Communication Specialist, Academic Researcher","RM42,000 for Malaysian students and USD10,000 for international students.","STPM: Average C+ or GP 2.50 (minimum 2 Principals); A-Level: Minimum 12 points (Minimum Grade C in at least 2 subjects); Australian Matriculation: ATAR 65; Canadian Matriculation: 65%; Monash University Foundation Year: 65%; Sunway Foundation in Arts: CGPA 2.5; Sunway Foundation in Science Technology: CGPA 2.5; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits including Mathematics and Physics."
Master of Science in Telecommunications Engineering,"Engineering, Telecommunications Engineering",Postgraduate (Master's),"This program provides advanced knowledge in telecommunications engineering, focusing on research and development in areas such as network design, wireless communication, and signal processing. Students will complete a research thesis.","The curriculum includes Advanced Network Design, Wireless Communication, Signal Processing, and Research Methods. Students will complete a research thesis.","February, July",1 year,"Telecommunications Engineer, Network Engineer, Wireless Communication Specialist, Academic Researcher","RM55,000 for Malaysian students and USD13,000 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Diploma in Telecommunications Engineering,"Engineering, Telecommunications Engineering",Diploma,"This diploma provides foundational knowledge in telecommunications engineering, focusing on network design and wireless communication. Students will gain practical experience through lab work.","The program includes Network Design, Wireless Communication, Signal Processing, and Telecommunications Applications. Students will complete a lab project in their final year.","January, April",2 years,"Telecommunications Engineering Technician, Research Assistant, Network Technician, Wireless Communication Technician","RM30,000 for Malaysian students and USD7,000 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits including Mathematics and Physics; UEC: Pass with minimum 3 Grade Cs."
Bachelor of Science (Hons) in Software Engineering,"Computer Science, Software Engineering",Undergraduate (Degree),"This program focuses on the study of software development, including programming, software design, and project management. Students will gain practical experience through lab work and research projects.","The curriculum includes Programming, Software Design, Project Management, and Software Engineering Applications. Students will complete a research project in their final year.","January, September",3 years,"Software Engineer, Software Developer, Project Manager, Academic Researcher","RM42,000 for Malaysian students and USD10,000 for international students.","STPM: Average C+ or GP 2.50 (minimum 2 Principals); A-Level: Minimum 12 points (Minimum Grade C in at least 2 subjects); Australian Matriculation: ATAR 65; Canadian Matriculation: 65%; Monash University Foundation Year: 65%; Sunway Foundation in Arts: CGPA 2.5; Sunway Foundation in Science Technology: CGPA 2.5; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits including Mathematics."
Master of Science in Software Engineering,"Computer Science, Software Engineering",Postgraduate (Master's),"This program provides advanced knowledge in software engineering, focusing on research and development in areas such as programming, software design, and project management. Students will complete a research thesis.","The curriculum includes Advanced Programming, Software Design, Project Management, and Research Methods. Students will complete a research thesis.","February, July",1 year,"Software Engineer, Software Developer, Project Manager, Academic Researcher","RM55,000 for Malaysian students and USD13,000 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Diploma in Software Engineering,"Computer Science, Software Engineering",Diploma,"This diploma provides foundational knowledge in software engineering, focusing on programming and software design. Students will gain practical experience through lab work.","The program includes Programming, Software Design, Project Management, and Software Engineering Applications. Students will complete a lab project in their final year.","January, April",2 years,"Software Engineering Technician, Research Assistant, Software Developer, Project Assistant","RM30,000 for Malaysian students and USD7,000 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits including Mathematics; UEC: Pass with minimum 3 Grade Cs."
Bachelor of Science (Hons) in Data Science,"Computer Science, Data Science",Undergraduate (Degree),"This program focuses on the study of data analysis, machine learning, and big data. Students will gain practical experience through lab work and research projects.","The curriculum includes Data Analysis, Machine Learning, Big Data, and Data Science Applications. Students will complete a research project in their final year.","January, September",3 years,"Data Scientist, Data Analyst, Machine Learning Engineer, Academic Researcher","RM42,000 for Malaysian students and USD10,000 for international students.","STPM: Average C+ or GP 2.50 (minimum 2 Principals); A-Level: Minimum 12 points (Minimum Grade C in at least 2 subjects); Australian Matriculation: ATAR 65; Canadian Matriculation: 65%; Monash University Foundation Year: 65%; Sunway Foundation in Arts: CGPA 2.5; Sunway Foundation in Science Technology: CGPA 2.5; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits including Mathematics."
Master of Science in Data Science,"Computer Science, Data Science",Postgraduate (Master's),"This program provides advanced knowledge in data science, focusing on research and development in areas such as data analysis, machine learning, and big data. Students will complete a research thesis.","The curriculum includes Advanced Data Analysis, Machine Learning, Big Data, and Research Methods. Students will complete a research thesis.","February, July",1 year,"Data Scientist, Data Analyst, Machine Learning Engineer, Academic Researcher","RM55,000 for Malaysian students and USD13,000 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Diploma in Data Science,"Computer Science, Data Science",Diploma,"This diploma provides foundational knowledge in data science, focusing on data analysis and machine learning. Students will gain practical experience through lab work.","The program includes Data Analysis, Machine Learning, Big Data, and Data Science Applications. Students will complete a lab project in their final year.","January, April",2 years,"Data Science Technician, Research Assistant, Data Analyst, Machine Learning Technician","RM30,000 for Malaysian students and USD7,000 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits including Mathematics; UEC: Pass with minimum 3 Grade Cs."
Bachelor of Science (Hons) in Cybersecurity,"Computer Science, Cybersecurity",Undergraduate (Degree),"This program focuses on the study of cybersecurity, including network security, cryptography, and ethical hacking. Students will gain practical experience through lab work and research projects.","The curriculum includes Network Security, Cryptography, Ethical Hacking, and Cybersecurity Applications. Students will complete a research project in their final year.","January, September",3 years,"Cybersecurity Specialist, Network Security Engineer, Ethical Hacker, Academic Researcher","RM42,000 for Malaysian students and USD10,000 for international students.","STPM: Average C+ or GP 2.50 (minimum 2 Principals); A-Level: Minimum 12 points (Minimum Grade C in at least 2 subjects); Australian Matriculation: ATAR 65; Canadian Matriculation: 65%; Monash University Foundation Year: 65%; Sunway Foundation in Arts: CGPA 2.5; Sunway Foundation in Science Technology: CGPA 2.5; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits including Mathematics."
Master of Science in Cybersecurity,"Computer Science, Cybersecurity",Postgraduate (Master's),"This program provides advanced knowledge in cybersecurity, focusing on research and development in areas such as network security, cryptography, and ethical hacking. Students will complete a research thesis.","The curriculum includes Advanced Network Security, Cryptography, Ethical Hacking, and Research Methods. Students will complete a research thesis.","February, July",1 year,"Cybersecurity Specialist, Network Security Engineer, Ethical Hacker, Academic Researcher","RM55,000 for Malaysian students and USD13,000 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Diploma in Cybersecurity,"Computer Science, Cybersecurity",Diploma,"This diploma provides foundational knowledge in cybersecurity, focusing on network security and cryptography. Students will gain practical experience through lab work.","The program includes Network Security, Cryptography, Ethical Hacking, and Cybersecurity Applications. Students will complete a lab project in their final year.","January, April",2 years,"Cybersecurity Technician, Research Assistant, Network Security Technician, Ethical Hacking Technician","RM30,000 for Malaysian students and USD7,000 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits including Mathematics; UEC: Pass with minimum 3 Grade Cs."
Bachelor of Science (Hons) in Game Development,"Computer Science, Game Development",Undergraduate (Degree),"This program focuses on the study of game development, including game design, programming, and animation. Students will gain practical experience through lab work and research projects.","The curriculum includes Game Design, Programming, Animation, and Game Development Applications. Students will complete a research project in their final year.","January, September",3 years,"Game Developer, Game Designer, Animator, Academic Researcher","RM42,000 for Malaysian students and USD10,000 for international students.","STPM: Average C+ or GP 2.50 (minimum 2 Principals); A-Level: Minimum 12 points (Minimum Grade C in at least 2 subjects); Australian Matriculation: ATAR 65; Canadian Matriculation: 65%; Monash University Foundation Year: 65%; Sunway Foundation in Arts: CGPA 2.5; Sunway Foundation in Science Technology: CGPA 2.5; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits including Mathematics."
Master of Science in Game Development,"Computer Science, Game Development",Postgraduate (Master's),"This program provides advanced knowledge in game development, focusing on research and development in areas such as game design, programming, and animation. Students will complete a research thesis.","The curriculum includes Advanced Game Design, Programming, Animation, and Research Methods. Students will complete a research thesis.","February, July",1 year,"Game Developer, Game Designer, Animator, Academic Researcher","RM55,000 for Malaysian students and USD13,000 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Diploma in Game Development,"Computer Science, Game Development",Diploma,"This diploma provides foundational knowledge in game development, focusing on game design and programming. Students will gain practical experience through lab work.","The program includes Game Design, Programming, Animation, and Game Development Applications. Students will complete a lab project in their final year.","January, April",2 years,"Game Development Technician, Research Assistant, Game Designer, Animator","RM30,000 for Malaysian students and USD7,000 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits including Mathematics; UEC: Pass with minimum 3 Grade Cs."
Bachelor of Science (Hons) in Artificial Intelligence,"Computer Science, Artificial Intelligence",Undergraduate (Degree),"This program focuses on the study of artificial intelligence, including machine learning, natural language processing, and robotics. Students will gain practical experience through lab work and research projects.","The curriculum includes Machine Learning, Natural Language Processing, Robotics, and Artificial Intelligence Applications. Students will complete a research project in their final year.","January, September",3 years,"AI Specialist, Machine Learning Engineer, Robotics Engineer, Academic Researcher","RM42,000 for Malaysian students and USD10,000 for international students.","STPM: Average C+ or GP 2.50 (minimum 2 Principals); A-Level: Minimum 12 points (Minimum Grade C in at least 2 subjects); Australian Matriculation: ATAR 65; Canadian Matriculation: 65%; Monash University Foundation Year: 65%; Sunway Foundation in Arts: CGPA 2.5; Sunway Foundation in Science Technology: CGPA 2.5; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits including Mathematics."
Master of Science in Artificial Intelligence,"Computer Science, Artificial Intelligence",Postgraduate (Master's),"This program provides advanced knowledge in artificial intelligence, focusing on research and development in areas such as machine learning, natural language processing, and robotics. Students will complete a research thesis.","The curriculum includes Advanced Machine Learning, Natural Language Processing, Robotics, and Research Methods. Students will complete a research thesis.","February, July",1 year,"AI Specialist, Machine Learning Engineer, Robotics Engineer, Academic Researcher","RM55,000 for Malaysian students and USD13,000 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Diploma in Artificial Intelligence,"Computer Science, Artificial Intelligence",Diploma,"This diploma provides foundational knowledge in artificial intelligence, focusing on machine learning and natural language processing. Students will gain practical experience through lab work.","The program includes Machine Learning, Natural Language Processing, Robotics, and Artificial Intelligence Applications. Students will complete a lab project in their final year.","January, April",2 years,"AI Technician, Research Assistant, Machine Learning Technician, Robotics Technician","RM30,000 for Malaysian students and USD7,000 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits including Mathematics; UEC: Pass with minimum 3 Grade Cs."
